Date	Time	Severity	PID	TID	Function	Message
13-11-2025	14:17:02.881	 INFO	 25968	 27800	DllMain	"DLL_PROCESS_ATTACH Mon Oct  7 21:44:09 2024 11.3.2428.18"
13-11-2025	14:17:02.887	 INFO	 25968	 27800	DllMain	"PROCESS ATTACHED"
13-11-2025	14:17:02.889	 INFO	 25968	  9704	LateInitialization	"Intialization..."
13-11-2025	14:17:02.891	 INFO	 25968	  9704	LoadDisplayDevicesName	"DisplayDevices : "
13-11-2025	14:17:02.892	 INFO	 25968	  9704	LoadDisplayDevicesName	"\\.\DISPLAY1"
13-11-2025	14:17:02.893	 INFO	 25968	  9704	LoadDisplayDevicesName	"\\.\DISPLAY2"
13-11-2025	14:17:02.895	 INFO	 25968	  9704	LoadDisplayDevicesName	"\\.\DISPLAY3"
13-11-2025	14:17:02.897	 INFO	 25968	  9704	LoadDisplayDevicesName	"\\.\DISPLAY4"
13-11-2025	14:17:02.898	 INFO	 25968	  9704	LoadDisplayDevicesName	"\\.\DISPLAY5"
13-11-2025	14:17:02.903	ERROR	 25968	  9704	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
13-11-2025	14:17:02.904	 INFO	 25968	  9704	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\sh.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 69355968
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
13-11-2025	14:17:02.905	 INFO	 25968	  9704	LateInitialization	"Intialization finished"
13-11-2025	14:17:18.120	 INFO	 26864	  1776	DllMain	"DLL_PROCESS_ATTACH Mon Oct  7 21:44:09 2024 11.3.2428.18"
13-11-2025	14:17:18.125	 INFO	 26864	  1776	DllMain	"PROCESS ATTACHED"
13-11-2025	14:17:18.127	 INFO	 26864	 28280	LateInitialization	"Intialization..."
13-11-2025	14:17:18.129	 INFO	 26864	 28280	LoadDisplayDevicesName	"DisplayDevices : "
13-11-2025	14:17:18.131	 INFO	 26864	 28280	LoadDisplayDevicesName	"\\.\DISPLAY1"
13-11-2025	14:17:18.133	 INFO	 26864	 28280	LoadDisplayDevicesName	"\\.\DISPLAY2"
13-11-2025	14:17:18.135	 INFO	 26864	 28280	LoadDisplayDevicesName	"\\.\DISPLAY3"
13-11-2025	14:17:18.137	 INFO	 26864	 28280	LoadDisplayDevicesName	"\\.\DISPLAY4"
13-11-2025	14:17:18.138	 INFO	 26864	 28280	LoadDisplayDevicesName	"\\.\DISPLAY5"
13-11-2025	14:17:18.149	ERROR	 26864	 28280	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
13-11-2025	14:17:18.150	 INFO	 26864	 28280	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\sh.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 69371203
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
13-11-2025	14:17:18.152	 INFO	 26864	 28280	LateInitialization	"Intialization finished"
